ann_id,district,lat,lon,conf,crop
3642,东城区,39.881751,116.406820,0.816,park_crops/东城区/39.881751_116.406820_3642.jpg
3648,东城区,39.875373,116.407290,0.632,park_crops/东城区/39.875373_116.407290_3648.jpg
3649,东城区,39.875082,116.399687,0.567,park_crops/东城区/39.875082_116.399687_3649.jpg
3650,东城区,39.944379,116.435564,0.532,park_crops/东城区/39.944379_116.435564_3650.jpg
3652,东城区,39.876317,116.437238,0.428,park_crops/东城区/39.876317_116.437238_3652.jpg
3655,东城区,39.889729,116.429042,0.403,park_crops/东城区/39.889729_116.429042_3655.jpg
3376,丰台区,39.844607,116.336626,0.426,park_crops/丰台区/39.844607_116.336626_3376.jpg
3462,丰台区,39.827342,116.244260,0.572,park_crops/丰台区/39.827342_116.244260_3462.jpg
3296,丰台区,39.846899,116.139278,0.523,park_crops/丰台区/39.846899_116.139278_3296.jpg
3297,丰台区,39.853842,116.156759,0.482,park_crops/丰台区/39.853842_116.156759_3297.jpg
3306,丰台区,39.875225,116.171836,0.79,park_crops/丰台区/39.875225_116.171836_3306.jpg
3307,丰台区,39.870427,116.203328,0.592,park_crops/丰台区/39.870427_116.203328_3307.jpg
3308,丰台区,39.844523,116.198672,0.445,park_crops/丰台区/39.844523_116.198672_3308.jpg
3325,丰台区,39.867367,116.224201,0.552,park_crops/丰台区/39.867367_116.224201_3325.jpg
3326,丰台区,39.857084,116.223693,0.53,park_crops/丰台区/39.857084_116.223693_3326.jpg
3327,丰台区,39.869903,116.256877,0.51,park_crops/丰台区/39.869903_116.256877_3327.jpg
3328,丰台区,39.880715,116.252523,0.503,park_crops/丰台区/39.880715_116.252523_3328.jpg
3329,丰台区,39.881901,116.222339,0.457,park_crops/丰台区/39.881901_116.222339_3329.jpg
3330,丰台区,39.853386,116.246415,0.452,park_crops/丰台区/39.853386_116.246415_3330.jpg
3331,丰台区,39.857408,116.249001,0.417,park_crops/丰台区/39.857408_116.249001_3331.jpg
3353,丰台区,39.860651,116.268292,0.513,park_crops/丰台区/39.860651_116.268292_3353.jpg
3354,丰台区,39.891721,116.281890,0.469,park_crops/丰台区/39.891721_116.281890_3354.jpg
3355,丰台区,39.844101,116.266661,0.441,park_crops/丰台区/39.844101_116.266661_3355.jpg
3356,丰台区,39.858955,116.269971,0.4,park_crops/丰台区/39.858955_116.269971_3356.jpg
3375,丰台区,39.855116,116.318980,0.469,park_crops/丰台区/39.855116_116.318980_3375.jpg
3389,丰台区,39.864087,116.373588,0.458,park_crops/丰台区/39.864087_116.373588_3389.jpg
3400,丰台区,39.819615,116.092459,0.864,park_crops/丰台区/39.819615_116.092459_3400.jpg
3401,丰台区,39.799834,116.090200,0.479,park_crops/丰台区/39.799834_116.090200_3401.jpg
3411,丰台区,39.837606,116.145253,0.781,park_crops/丰台区/39.837606_116.145253_3411.jpg
3412,丰台区,39.829625,116.119211,0.58,park_crops/丰台区/39.829625_116.119211_3412.jpg
3413,丰台区,39.817586,116.130290,0.545,park_crops/丰台区/39.817586_116.130290_3413.jpg
3414,丰台区,39.828045,116.156544,0.527,park_crops/丰台区/39.828045_116.156544_3414.jpg
3415,丰台区,39.805193,116.141794,0.488,park_crops/丰台区/39.805193_116.141794_3415.jpg
3416,丰台区,39.801116,116.140751,0.481,park_crops/丰台区/39.801116_116.140751_3416.jpg
3417,丰台区,39.809629,116.128750,0.407,park_crops/丰台区/39.809629_116.128750_3417.jpg
3442,丰台区,39.837676,116.176758,0.703,park_crops/丰台区/39.837676_116.176758_3442.jpg
3443,丰台区,39.793857,116.161078,0.652,park_crops/丰台区/39.793857_116.161078_3443.jpg
3444,丰台区,39.840378,116.167763,0.557,park_crops/丰台区/39.840378_116.167763_3444.jpg
3445,丰台区,39.819054,116.174790,0.546,park_crops/丰台区/39.819054_116.174790_3445.jpg
3446,丰台区,39.795850,116.169607,0.534,park_crops/丰台区/39.795850_116.169607_3446.jpg
3447,丰台区,39.841619,116.198117,0.53,park_crops/丰台区/39.841619_116.198117_3447.jpg
3461,丰台区,39.826644,116.259776,0.666,park_crops/丰台区/39.826644_116.259776_3461.jpg
3463,丰台区,39.843022,116.254903,0.441,park_crops/丰台区/39.843022_116.254903_3463.jpg
3464,丰台区,39.812296,116.258730,0.422,park_crops/丰台区/39.812296_116.258730_3464.jpg
3465,丰台区,39.825445,116.250257,0.415,park_crops/丰台区/39.825445_116.250257_3465.jpg
3472,丰台区,39.800944,116.296396,0.689,park_crops/丰台区/39.800944_116.296396_3472.jpg
3473,丰台区,39.815995,116.316243,0.567,park_crops/丰台区/39.815995_116.316243_3473.jpg
3474,丰台区,39.815869,116.285956,0.535,park_crops/丰台区/39.815869_116.285956_3474.jpg
3475,丰台区,39.800622,116.276537,0.522,park_crops/丰台区/39.800622_116.276537_3475.jpg
3476,丰台区,39.794755,116.289088,0.519,park_crops/丰台区/39.794755_116.289088_3476.jpg
3477,丰台区,39.794073,116.287294,0.486,park_crops/丰台区/39.794073_116.287294_3477.jpg
3478,丰台区,39.830886,116.305718,0.465,park_crops/丰台区/39.830886_116.305718_3478.jpg
